position	B_SOURCE_RECORD_ID	nameVerbatim	sourceRank
1	1891	Acer monspessulanum x A. campestre	species
2	3600	Adenocarpus hispanicus subsp. neilense	subspecies
3	5517	Agave americana	species
4	4981	Alchemilla basaltica	species
5	3143	Alchemilla filicaulis var. vestita	variety
6	1326	Alchemilla plicatula	species
7	2250	Allium oleraceum var. oleraceum	variety
8	156	Allium schoenoprassum	species
9	300	Allium senescens subsp. montanum	subspecies
10	2545	Anchusa italica	species
11	895	Andryala ragusina var. ragusina	variety
12	4287	Anteriorchis coriophora	species
13	4286	Anteriorchis coriophora var. carpetana	variety
14	3261	Anteriorchis fragrans	species
15	3682	Anthemis triumfettii	species
16	1897	Anthyllis montana subsp. hispanica	subspecies
17	4979	Antirrhinum barrelieri	species
18	2285	Arum orientale subsp. orientale	subspecies
19	836	Asperula pyrenaica	species
20	4440	Asplenium adiantum-nigrum var. adiantum-nigrum	variety
21	3980	Asplenium x alternifolium	species
22	3997	Asplenium x sarniense	species
23	3999	Asplenium x souchei	species
24	4000	Asplenium x staufferi	species
25	4001	Asplenium x ticinense	species
26	1894	Astragalus monspessulanus subsp. teresianus	subspecies
27	294	Astragalus sempervirens subsp. muticus	subspecies
28	3862	Astragalus vesicarius subsp. vesicarius	subspecies
29	4989	Atropa bella-donna	species
30	5099	Avenula bromoides subsp. pauneroi	subspecies
31	1522	Avenula lodunensis subsp. romero-zarcoi	subspecies
32	1395	Avenula pratensis subsp. iberica	subspecies
33	1398	Avenula pratensis var. paniculata	variety
34	1399	Avenula pratensis var. vasconica	variety
35	615	Avenula sulcata subsp. sulcata	subspecies
36	5324	Azolla spp.	species
37	2070	Ballota nigra subsp. foetida	subspecies
38	4509	Betula alba var. alba	variety
39	4510	Betula alba var. glabrata	variety
40	4065	Betula celtiberica	species
41	1192	Betula pendula var. meridionalis	variety
42	3787	Biscutella valentina var. laevigata	variety
43	3788	Biscutella valentina var. valentina	variety
44	3789	Biscutella valentina var. variegata	variety
45	415	Blechnum spicant var. spicant	variety
46	1298	Brachypodium pinnatum x B. phoenicoides	species
47	4058	Bromus catharticus	species
48	4958	Bupleurum baldense subsp. baldense	subspecies
49	910	Bupleurum ranunculoides subsp. gramineus	subspecies
50	911	Bupleurum ranunculoides subsp. ranunculoides	subspecies
51	305	Calystegia sepium subsp. sepium	subspecies
52	3378	Campanula glomerata subsp. glomerata	subspecies
53	3587	Campanula hispanica	species
54	1172	Campanula paui	species
55	3629	Campanula trachelium subsp. trachelium	subspecies
56	3767	Campanula urbionensis	species
57	4858	Carduus assoi	species
58	2152	Carduus nutans subsp. nutans	subspecies
59	3164	Carex flacca subsp. flacca	subspecies
60	3165	Carex flacca subsp. serrulata	subspecies
61	1968	Carex muricata subsp. lamprocarpa	subspecies
62	2308	Carex ovalis	species
63	4021	Carlina vulgaris subsp. vulgaris	subspecies
64	2629	Carthamus lanatus subsp. lanatus	subspecies
65	2758	Centaurea debeauxii subsp. nemoralis	subspecies
66	2296	Centaurea ornata x C. scabiosa	species
67	2367	Centaurea paniculata subsp. castellana	subspecies
68	3681	Centaurea triumfetti subsp. lingulata	subspecies
69	3903	Centaurea vinyalsii	species
70	4002	Centaurea x zubiae	species
71	3006	Centaurium erythraea subsp. grandiflorum	subspecies
72	3007	Centaurium erythraea subsp. majus	subspecies
73	5177	Centranthus calcitrapae subsp. calcitrapae	subspecies
74	5080	Cerastium brachypetalum var. brachypetalum	variety
75	2289	Chaenorhinum origanifolium subsp. crassifolium	subspecies
76	1117	Chaenorhinum rupestre	species
77	686	Chaerophyllum temulentum	species
78	4419	Cheilanthes acrostica	species
79	4781	Cicer arietinum	species
80	839	Cirsium pyrenaicum var. longespinosum	variety
81	840	Cirsium pyrenaicum var. pyrenaicum	variety
82	974	Cirsium richterianum	species
83	1367	Cistus populifolius x C. Salvifolius	species
84	79	Cistus salvifolius	species
85	4871	Colutea atlantica	species
86	5071	Conopodium bourgaei	species
87	5244	Conopodium capillifolium	species
88	907	Conopodium ramosum	species
89	3784	Coronilla valentina subsp. glauca	subspecies
90	5325	Cortaderia spp.	species
91	2015	Cotoneaster nebrodensis	species
92	1878	Crataegus monogyna subsp. brevispina	subspecies
93	1879	Crataegus monogyna subsp. monogyna	subspecies
94	5528	Cylindropuntia spp.	species
95	4957	Cytisus balansae subsp. europaeus	subspecies
96	173	Cytisus scoparius subsp. cantabricus	subspecies
97	3594	Dactylis hispanica	species
98	2934	Dactylorhiza elata subsp. sesquipedalis	subspecies
99	2994	Dactylorhiza ericetorum	species
100	2483	Dactylorhiza incarnata subsp. incarnata	subspecies
